tweetInteractionCount,tweetId,body,createdAt,crawledAt,language,authorId,keyword,tweetLikesCount,tweetRetweetCount,tweetReplyCount,tweetType,cleanedText,sentiment
0,1601366057960150000,@conservmillen Is that Matt Damon in Elysium. 🤣🤣🤣🤣,10.12.2022 0:59,10.12.2022 13:14,en,1598759203824280000,Matt Damon,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
62,1601365768397940000,RT @JebraFaushay: I loved Matt Damon in The Luggage Conspiracy. https://t.co/QT0nLFhoH8,10.12.2022 0:58,10.12.2022 13:14,en,170050937,Matt Damon,0,62,0,retweeted,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601365475627530000,@RealCandaceO Why do I keep seeing a bald Matt damon,10.12.2022 0:57,10.12.2022 13:14,en,1563888356618030000,Matt Damon,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601365277391720000,"@offbeatorbit I’m so sorry for your loss, Ashley. What you and Rob had/have was/is extremely beautiful. May his memory be a blessing. 💜",10.12.2022 0:56,10.12.2022 14:01,en,1369535290352800000,memory loss,1,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
1556,1601365115714310000,"RT @JamesL1927: ‘People call these things imperfections, but they’re not. They’re the good stuff.’

ROBIN WILLIAMS improvised much of this…",10.12.2022 0:56,10.12.2022 13:14,en,1524499814741940000,Matt Damon,0,1556,0,retweeted,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
62,1601365058256110000,RT @JebraFaushay: I loved Matt Damon in The Luggage Conspiracy. https://t.co/QT0nLFhoH8,10.12.2022 0:55,10.12.2022 13:14,en,865392420921291000,Matt Damon,0,62,0,retweeted,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
2,1601364590679320000,@NuanceBro @awakeningMan is that Matt Damon?  What movie is this from? Or is it a crypto commercial clip?,10.12.2022 0:54,10.12.2022 13:14,en,1551097142181130000,Matt Damon,1,0,2,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
2,1601364520181540000,@TPostMillennial Matt Damon has really fallen on hard times.,10.12.2022 0:53,10.12.2022 13:14,en,1600595590450190000,Matt Damon,3,0,2,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601364452158640000,@ClownWorld_ He’s being possessed by the ghost of Matt Damon past. https://t.co/gfRr1Y5MAm,10.12.2022 0:53,10.12.2022 13:14,en,1190385493684310000,Matt Damon,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601364384835850000,No one can convince me this isn’t Matt Damon https://t.co/4uTsKp1eoZ,10.12.2022 0:53,10.12.2022 13:14,en,146281385,Matt Damon,1,0,0,quoted,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
